timestamp_iso,epoch_ms,elapsed_ms,value_adc,packet_id,channel,dongle_addr,ring_addr,event,raw
2026-06-15T08:08:22.098Z,1781510902098,1817532,1826,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1826"
2026-06-15T08:08:25.184Z,1781510905184,1820618,1847,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1847"
2026-06-15T08:08:31.377Z,1781510911377,1826811,1563,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1563"
2026-06-15T08:08:34.475Z,1781510914475,1829909,1906,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1906"
2026-06-15T08:08:37.609Z,1781510917609,1833043,1920,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1920"
2026-06-15T08:08:40.670Z,1781510920670,1836104,1993,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1993"
2026-06-15T08:08:43.750Z,1781510923750,1839184,1879,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1879"
2026-06-15T08:08:46.851Z,1781510926851,1842285,1862,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1862"
2026-06-15T08:08:49.938Z,1781510929938,1845372,1869,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1869"
2026-06-15T08:08:53.070Z,1781510933070,1848504,1854,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1854"
2026-06-15T08:08:56.166Z,1781510936166,1851600,1847,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1847"
2026-06-15T08:08:59.258Z,1781510939258,1854692,1866,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1866"
2026-06-15T08:09:02.312Z,1781510942312,1857746,1965,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1965"
2026-06-15T08:09:05.398Z,1781510945398,1860832,1906,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1906"
2026-06-15T08:09:08.538Z,1781510948538,1863972,1923,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1923"
2026-06-15T08:09:11.618Z,1781510951618,1867052,1947,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1947"
2026-06-15T08:09:14.719Z,1781510954719,1870153,1941,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1941"
2026-06-15T08:09:17.837Z,1781510957837,1873271,1962,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1962"
2026-06-15T08:09:20.939Z,1781510960939,1876373,1947,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1947"
2026-06-15T08:09:24.057Z,1781510964057,1879491,2003,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;2003"
2026-06-15T08:09:27.160Z,1781510967160,1882594,1927,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1927"
2026-06-15T08:09:30.249Z,1781510970249,1885683,1800,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1800"
2026-06-15T08:09:33.367Z,1781510973367,1888801,1821,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1821"
2026-06-15T08:09:36.470Z,1781510976470,1891904,1877,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1877"
2026-06-15T08:09:39.558Z,1781510979558,1894992,1846,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1846"
2026-06-15T08:09:42.666Z,1781510982666,1898100,1846,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1846"
2026-06-15T08:09:45.769Z,1781510985769,1901203,1874,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1874"
2026-06-15T08:09:48.864Z,1781510988864,1904298,1857,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1857"
2026-06-15T08:09:51.969Z,1781510991969,1907403,1799,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1799"
2026-06-15T08:09:55.054Z,1781510995054,1910488,1179,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;1179"
2026-06-15T08:09:58.153Z,1781510998153,1913587,995,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;995"
2026-06-15T08:10:01.239Z,1781511001239,1916673,926,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;926"
2026-06-15T08:10:04.373Z,1781511004373,1919807,933,D8730,01,CEE3,CAFE,"","D8730:01[CEE3];CAFE;933"
